
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2023-08-31,LH441,"Houston / George Bush Intercontinental (IAH/KIAH)","Frankfurt am Main / Frankfurt (FRA/EDDF)",15:45:00,08:15:00,09:30:00,"Lufthansa (LH/DLH)","Boeing 747-8 (B748)",D-ABYG,32A,1,1,2,,1204,919,239,2104
2023-09-01,LH838,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Billund / Billund (BLL/EKBI)",12:35:00,13:50:00,01:15:00,"Lufthansa (LH/DLH)","Airbus A319 (A319)",D-AILN,19A,1,1,2,,919,345,239,26
2023-10-04,LH837,"Billund / Billund (BLL/EKBI)","Frankfurt am Main / Frankfurt (FRA/EDDF)",10:55:00,12:20:00,01:25:00,"Lufthansa (LH/DLH)","Airbus A319 (A319)",D-AIBI,22F,1,1,1,,345,919,239,26
2023-10-10,SK842,"Zurich / Kloten (ZRH/LSZH)","Oslo / Gardermoen (OSL/ENGM)",19:20:00,21:40:00,02:20:00,"Scandinavian Airlines (SK/SAS)","Airbus A320neo (A20N)",SE-RON,17F,1,1,1,,3548,2219,677,2127
2023-10-15,SK1905,"Oslo / Gardermoen (OSL/ENGM)","Billund / Billund (BLL/EKBI)",15:35:00,16:40:00,01:05:00,"Scandinavian Airlines (SK/SAS)","Bombardier CRJ-900 (CRJ9)",EI-FPX,12A,1,1,1,,2219,345,677,531
2023-10-23,SK1258,"Aarhus / Tirstrup (AAR/EKAH)","Copenhagen / Kastrup (CPH/EKCH)",15:55:00,16:30:00,00:35:00,"Scandinavian Airlines (SK/SAS)","Bombardier CRJ-900 (CRJ9)",EI-GEA,11F,1,1,2,,8,606,677,531
2023-10-23,OS304,"Copenhagen / Kastrup (CPH/EKCH)","Vienna / Schwechat (VIE/LOWW)",17:40:00,19:20:00,01:40:00,"Austrian Airlines (OS/AUA)","Airbus A320-200 (A320)",OE-LXA,12E,2,1,2,,606,3179,87,2059
2023-10-25,OS305,"Vienna / Schwechat (VIE/LOWW)","Copenhagen / Kastrup (CPH/EKCH)",17:30:00,19:10:00,01:40:00,"Austrian Airlines (OS/AUA)","Airbus A320 (A320)",OE-LZF,8A,1,1,2,,3179,606,87,27
2023-10-25,SK1269,"Copenhagen / Kastrup (CPH/EKCH)","Aarhus / Tirstrup (AAR/EKAH)",20:55:00,21:30:00,00:35:00,"Scandinavian Airlines (SK/SAS)","Bombardier CRJ-900 (CRJ9)",EI-FPD,21A,1,1,2,,606,8,677,531
2023-07-28,TC136,"Zanzibar / Kisauni (ZNZ/HTZA)","Arusha / Arusha (ARK/HTAR)",14:30:00,15:30:00,01:00:00,"Air Tanzania (TC/ATC)","Bombardier Dash 8-400 (DH8D)",5H-TCF,5A,1,1,1,,3542,154,84,610
2023-12-21,SK1585,"Copenhagen / Kastrup (CPH/EKCH)","Barcelona / El Prat (BCN/LEBL)",15:30:00,18:25:00,02:50:00,"Scandinavian Airlines (SK/SAS)","Airbus A320neo (A20N)",EI-SIH,15F,1,1,1,,606,239,677,2127
2023-12-28,VY1872,"Barcelona / El Prat (BCN/LEBL)","Copenhagen / Kastrup (CPH/EKCH)",16:40:00,19:45:00,03:00:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",EC-MVD,8F,1,1,1,,239,606,839,27
2024-05-09,FR3671,"Billund / Billund (BLL/EKBI)","Charleroi / Brussels South Charleroi (CRL/EBCI)",14:40:00,16:10:00,01:30:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",9H-QDX,10B,2,1,1,,345,615,668,231
2024-05-12,FR3762,"Charleroi / Brussels South Charleroi (CRL/EBCI)","Billund / Billund (BLL/EKBI)",15:55:00,17:20:00,01:25:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",9H-QDW,5E,2,1,1,,615,345,668,231
2024-06-16,BA817,"Copenhagen / Kastrup (CPH/EKCH)","London / Heathrow (LHR/EGLL)",16:40:00,17:40:00,02:05:00,"British Airways (BA/BAW)","Airbus A320 (A320)",G-EUUE,19A,1,1,1,,606,1618,113,27
2024-06-17,BA2159,"London / Gatwick (LGW/EGKK)","St Lucia / Hewanorra (UVF/TLPL)",11:15:00,15:00:00,10:10:00,"British Airways (BA/BAW)","Boeing 777-200 (B772)",G-VIIP,33G,2,1,1,,1614,3123,113,246
2024-06-22,BA2159,"St Lucia / Hewanorra (UVF/TLPL)","St Georges / Point Salines (GND/TGPY)",16:10:00,17:05:00,00:55:00,"British Airways (BA/BAW)","Boeing 777 (B777)",G-VIIT,29K,1,1,1,,3123,1013,113,2012
2024-07-05,BA254,"Barbados I / Bridgetown-Grantley Adams (BGI/TBPB)","London / Heathrow (LHR/EGLL)",17:05:00,06:20:00,07:10:00,"British Airways (BA/BAW)","Boeing 787-10 (B78X)",G-ZBLG,35A,1,1,1,,287,1618,113,2138
2024-08-06,BA806,"London / Heathrow (LHR/EGLL)","Billund / Billund (BLL/EKBI)",08:55:00,11:35:00,01:40:00,"British Airways (BA/BAW)","Airbus A320-200 (A320)",G-EUYC,26A,1,1,1,,1618,345,113,2059
2024-02-14,BA807,"Billund / Billund (BLL/EKBI)","London / Heathrow (LHR/EGLL)",20:35:00,21:25:00,01:50:00,"British Airways (BA/BAW)","Airbus A320 (A320)",G-EUUE,30A,2,1,2,,345,1618,113,27
2024-02-16,BA806,"London / Heathrow (LHR/EGLL)","Billund / Billund (BLL/EKBI)",17:30:00,20:10:00,01:40:00,"British Airways (BA/BAW)","Airbus A319 (A319)",G-DBCA,4A,1,1,2,,1618,345,113,26
2024-02-28,LO468,"Billund / Billund (BLL/EKBI)","Warsaw / Chopin (Okecie) (WAW/EPWA)",20:00:00,21:35:00,01:35:00,"LOT (LO/LOT)","Embraer ERJ-195 (E195)",SP-LNF,6A,1,1,2,,345,3142,483,2016
2024-02-28,LO3941,"Warsaw / Chopin (Okecie) (WAW/EPWA)","Poznan / Lawica (POZ/EPPO)",22:55:00,23:55:00,01:00:00,"LOT (LO/LOT)","Embraer ERJ-195 (E195)",SP-LNB,25A,1,1,2,,3142,2387,483,2016
2024-03-01,LO3944,"Poznan / Lawica (POZ/EPPO)","Warsaw / Chopin (Okecie) (WAW/EPWA)",14:50:00,15:45:00,00:55:00,"LOT (LO/LOT)","Embraer ERJ-190 (E190)",SP-LMC,22D,1,1,2,,2387,3142,483,655
2024-03-01,LO467,"Warsaw / Chopin (Okecie) (WAW/EPWA)","Billund / Billund (BLL/EKBI)",17:30:00,19:20:00,01:50:00,"LOT (LO/LOT)","Embraer ERJ-195 (E195)",SP-LNG,25D,1,1,2,,3142,345,483,2016
2024-03-17,FR9003,"Billund / Billund (BLL/EKBI)","Barcelona / El Prat (BCN/LEBL)",15:00:00,17:45:00,02:45:00,"Ryanair (FR/RYR)","Boeing 737 MAX 8 (B38M)",9H-VUK,2A,1,1,1,,345,239,668,2123
2024-04-04,FR9002,"Barcelona / El Prat (BCN/LEBL)","Billund / Billund (BLL/EKBI)",18:20:00,21:15:00,02:55:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-DPI,25F,1,1,1,,239,345,668,231
2024-06-27,JY703,"St Georges / Point Salines (GND/TGPY)","St Vincent / St Vincent (SVD/TVSV)",08:10:00,05:55:00,00:45:00,"InterCaribbean Airways (JY/IWY)","Embraer EMB-120 Brasilia (E120)",VQ-TMJ,7C,1,1,1,,1013,2807,403,650
2024-06-11,LH839,"Billund / Billund (BLL/EKBI)","Frankfurt am Main / Frankfurt (FRA/EDDF)",14:50:00,16:15:00,01:25:00,"Lufthansa (LH/DLH)","Bombardier CRJ-900 (CRJ9)",D-ACNT,14F,1,1,2,,345,919,239,531
2024-06-13,LH840,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Billund / Billund (BLL/EKBI)",17:10:00,18:30:00,01:20:00,"Lufthansa (LH/DLH)","Airbus A320 (A320)",D-AIZH,21F,1,1,2,,919,345,239,27
2024-07-04,BW201,"St Vincent / St Vincent (SVD/TVSV)","Barbados I / Bridgetown-Grantley Adams (BGI/TBPB)",05:45:00,09:30:00,00:45:00,"BWIA West Indies Airways (BW/BWA)","ATR 72-600 (AT76)",9Y-TTE,3D,1,1,1,,2807,287,156,2105
2024-11-02,EY440,"Abu Dhabi / Abu Dhabi (AUH/OMAA)","Manila / Ninoy Aquino International (MNL/RPLL)",02:40:00,15:00:00,08:20:00,"Etihad Airways (EY/ETD)","Boeing 777-300ER (B77W)",A6-ETH,39K,1,1,1,,188,1898,276,2023
2024-11-01,EY178,"Copenhagen / Kastrup (CPH/EKCH)","Abu Dhabi / Abu Dhabi (AUH/OMAA)",10:10:00,19:20:00,07:10:00,"Etihad Airways (EY/ETD)","Boeing 787-9 (B789)",A6-BNC,17A,1,1,1,,606,188,276,2088
2024-11-23,EY441,"Manila / Ninoy Aquino International (MNL/RPLL)","Abu Dhabi / Abu Dhabi (AUH/OMAA)",18:35:00,00:20:00,09:45:00,"Etihad Airways (EY/ETD)","Boeing 777-300ER (B77W)",A6-ETE,53A,1,1,1,,1898,188,276,2023
2024-11-24,EY177,"Abu Dhabi / Abu Dhabi (AUH/OMAA)","Copenhagen / Kastrup (CPH/EKCH)",02:55:00,07:00:00,06:05:00,"Etihad Airways (EY/ETD)","Boeing 787-9 (B789)",A6-BLR,21B,2,1,1,,188,606,276,2088
2024-08-27,BA807,"Billund / Billund (BLL/EKBI)","London / Heathrow (LHR/EGLL)",17:05:00,17:50:00,01:45:00,"British Airways (BA/BAW)","Airbus A319 (A319)",G-DBCC,25E,2,1,2,,345,1618,113,26
2024-08-29,BA806,"London / Heathrow (LHR/EGLL)","Billund / Billund (BLL/EKBI)",12:45:00,15:25:00,01:40:00,"British Airways (BA/BAW)","Airbus A319 (A319)",G-DBCE,12C,3,1,2,,1618,345,113,26
2024-11-02,5J651,"Manila / Ninoy Aquino International (MNL/RPLL)","Tacloban / Dz Romualdez (TAC/RPVA)",18:15:00,19:50:00,01:35:00,"Cebu Pacific (5J/CEB)","Airbus A320neo (A20N)",RP-C4138,18A,1,1,1,,1898,2847,906,2127
2024-11-18,5J650,"Tacloban / Dz Romualdez (TAC/RPVA)","Manila / Ninoy Aquino International (MNL/RPLL)",06:20:00,07:50:00,01:30:00,"Cebu Pacific (5J/CEB)","Airbus A320-200 (A320)",RP-C4107,18A,1,1,1,,2847,1898,906,2059
2024-10-22,VY1881,"Billund / Billund (BLL/EKBI)","Barcelona / El Prat (BCN/LEBL)",14:40:00,17:25:00,02:45:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",LY-NOW,24F,1,1,1,,345,239,839,27
2024-10-26,VY1880,"Barcelona / El Prat (BCN/LEBL)","Billund / Billund (BLL/EKBI)",11:30:00,14:25:00,02:55:00,"Vueling Airlines (VY/VLG)","Airbus A321neo (A21N)",EC-NYC,36F,1,1,1,,239,345,839,2128
2024-12-15,SK1585,"Copenhagen / Kastrup (CPH/EKCH)","Barcelona / El Prat (BCN/LEBL)",15:35:00,18:05:00,02:30:00,"Scandinavian Airlines (SK/SAS)","Airbus A320neo (A20N)",SE-ROI,4E,2,1,1,,606,239,677,2127
2024-12-28,VY1870,"Barcelona / El Prat (BCN/LEBL)","Copenhagen / Kastrup (CPH/EKCH)",14:25:00,17:25:00,03:00:00,"Vueling Airlines (VY/VLG)","Airbus A320-200 (A320)",EC-MJC,29B,2,1,1,,239,606,839,2059
2025-03-12,DY999,"Billund / Billund (BLL/EKBI)","Oslo / Gardermoen (OSL/ENGM)",11:15:00,12:25:00,01:10:00,"Norwegian Air Shuttle (DY/NAX)","Boeing 737-800 (B738)",LN-DYT,23F,1,1,1,,345,2219,552,231
2025-03-17,DY998,"Oslo / Gardermoen (OSL/ENGM)","Billund / Billund (BLL/EKBI)",17:40:00,18:50:00,01:10:00,"Norwegian Air Shuttle (DY/NAX)","Boeing 737-800 (B738)",SE-RXB,25F,1,1,1,,2219,345,552,231
2025-05-08,LX1285,"Billund / Billund (BLL/EKBI)","Zurich / Kloten (ZRH/LSZH)",20:05:00,21:45:00,01:40:00,"Swiss International Airlines (LX/SWR)","Airbus A321-200 (A321)",HB-ION,11D,2,1,1,,345,3548,741,2076
2025-05-12,LX1282,"Zurich / Kloten (ZRH/LSZH)","Billund / Billund (BLL/EKBI)",07:00:00,08:50:00,01:50:00,"AirBaltic (BT/BTI)","Airbus A220-300 (BCS3)",YL-AAX,29F,1,1,1,,3548,345,154,2142
2025-07-19,EK152,"Copenhagen / Kastrup (CPH/EKCH)","Dubai / Dubai International (DXB/OMDB)",16:00:00,00:20:00,07:25:00,"Emirates (EK/UAE)","Airbus A380-800 (A388)",A6-EUP,10A,1,2,1,,606,768,807,39
2025-07-20,EK705,"Dubai / Dubai International (DXB/OMDB)","Mahe / Seychelles (SEZ/FSIA)",02:15:00,06:50:00,04:25:00,"Emirates (EK/UAE)","Boeing 777-300ER (B77W)",A6-EGI,07A,1,2,1,,768,2634,807,2023
2025-07-31,HM3201,"Praslin / Praslin (PRI/FSPP)","Mahe / Seychelles (SEZ/FSIA)",19:55:00,20:15:00,00:20:00,"Air Seychelles Limited (HM/SEY)","Viking DHC-6-400 Twin Otter (DHC6)",S7-FAR,06C,1,1,1,,2400,2634,694,2178
2025-07-24,HM3124,"Mahe / Seychelles (SEZ/FSIA)","Praslin / Praslin (PRI/FSPP)",12:30:00,12:50:00,00:20:00,"Air Seychelles Limited (HM/SEY)","Viking DHC-6-400 Twin Otter (DHC6)",S7-PRN,03A,1,1,1,,2634,2400,694,2178
2025-07-31,EK708,"Mahe / Seychelles (SEZ/FSIA)","Dubai / Dubai International (DXB/OMDB)",23:50:00,04:20:00,04:30:00,"Emirates (EK/UAE)","Boeing 777-300ER (B77W)",A6-EPO,09K,1,2,1,,2634,768,807,2023
2025-08-01,EK151,"Dubai / Dubai International (DXB/OMDB)","Copenhagen / Kastrup (CPH/EKCH)",08:20:00,13:15:00,06:00:00,"Emirates (EK/UAE)","Airbus A380-800 (A388)",A6-EUY,12A,1,2,1,,768,606,807,39
2025-06-26,FR713,"Aarhus / Tirstrup (AAR/EKAH)","London / Stansted (STN/EGSS)",14:15:00,15:00:00,01:45:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-DLX,26F,1,1,1,,8,2785,668,231
2025-06-29,FR712,"London / Stansted (STN/EGSS)","Aarhus / Tirstrup (AAR/EKAH)",06:05:00,08:45:00,01:40:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",9H-QDH,12D,3,1,1,,2785,8,668,231
2025-12-14,SK1585,"Copenhagen / Kastrup (CPH/EKCH)","Barcelona / El Prat (BCN/LEBL)",15:30:00,18:20:00,02:50:00,"Scandinavian Airlines (SK/SAS)","Airbus A320neo (A20N)",EI-SIW,5B,2,1,1,,606,239,677,2127
2025-12-27,SK1586,"Barcelona / El Prat (BCN/LEBL)","Copenhagen / Kastrup (CPH/EKCH)",19:10:00,22:05:00,02:55:00,"Scandinavian Airlines (SK/SAS)","Airbus A320neo (A20N)",EI-SIF,10A,1,1,1,,239,606,677,2127
2026-01-31,LH843,"Billund / Billund (BLL/EKBI)","Frankfurt am Main / Frankfurt (FRA/EDDF)",06:45:00,08:10:00,01:25:00,"Lufthansa (LH/DLH)","Airbus A321 (A321)",D-AIRT,19A,1,1,2,,345,919,239,28
2026-01-31,LH758,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Chennai / Chennai (MAA/VOMM)",10:15:00,00:05:00,09:50:00,"Lufthansa (LH/DLH)","Airbus A340-300 (A343)",D-AIGV,33K,1,1,2,,919,1737,239,34
2026-02-06,LH759,"Chennai / Chennai (MAA/VOMM)","Frankfurt am Main / Frankfurt (FRA/EDDF)",01:50:00,07:55:00,10:05:00,"Lufthansa (LH/DLH)","Airbus A340-300 (A343)",D-AIGT,33A,1,1,2,,1737,919,239,34
2026-02-06,LH838,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Billund / Billund (BLL/EKBI)",12:00:00,13:20:00,01:20:00,"Lufthansa (LH/DLH)","Airbus A321 (A321)",D-AIDI,20F,1,1,2,,919,345,239,28
2026-03-26,SK1902,"Billund / Billund (BLL/EKBI)","Oslo / Gardermoen (OSL/ENGM)",19:20:00,20:30:00,01:10:00,"Scandinavian Airlines (SK/SAS)","Embraer ERJ-195 (E195)",SE-RSU,15F,1,1,1,,345,2219,677,2016
2026-03-29,SK1905,"Oslo / Gardermoen (OSL/ENGM)","Billund / Billund (BLL/EKBI)",18:40:00,19:45:00,01:15:00,"Scandinavian Airlines (SK/SAS)","Embraer ERJ-195 (E195)",SE-RSL,21F,1,1,1,,2219,345,677,2016
2026-03-07,W45192,"Billund / Billund (BLL/EKBI)","Tirana / Rinas (TIA/LATI)",09:30:00,12:15:00,02:45:00,"Aero Services Executive (W4/BES)","Airbus A321 (A321)",HA-LTI,22A,1,1,1,,345,2922,126,28
2026-03-14,W45191,"Tirana / Rinas (TIA/LATI)","Billund / Billund (BLL/EKBI)",05:55:00,08:55:00,03:00:00,"Aero Services Executive (W4/BES)","Airbus A321 (A321)",HA-LTI,31D,2,1,1,,2922,345,126,28
2026-04-19,W62320,"Billund / Billund (BLL/EKBI)","Budapest / Franz Liszt International (BUD/LHBP)",15:05:00,17:05:00,02:00:00,"Wizz Air (W6/WZZ)","Airbus A321neo (A21N)",HA-LDC,7F,1,1,2,,345,429,859,2128
2026-04-23,SK762,"Budapest / Franz Liszt International (BUD/LHBP)","Copenhagen / Kastrup (CPH/EKCH)",19:50:00,21:45:00,02:00:00,"Scandinavian Airlines (SK/SAS)","Bombardier CRJ-1000 (CRJX)",EI-HIB,11A,1,1,2,,429,606,677,2071
2026-04-23,SK1289,"Copenhagen / Kastrup (CPH/EKCH)","Billund / Billund (BLL/EKBI)",23:05:00,23:55:00,00:50:00,"Scandinavian Airlines (SK/SAS)","ATR 72-600 (AT76)",SE-MKO,11A,1,1,2,,606,345,677,2105
